Provincia,Canton,Latitude,Longitude,Codigo_INEC,C,Eventos,Perdida,Perdida_mill,IDS,IGM_Desarrollo_Gestion_Inst,IGM_Planif_Partic_Ciud_Rend_Cuent,IGM_Gestion_Desarrollo_Amb,IGM_Gestion_Servicios_Econ,IGM_Gestion_Serv_Social,area_km,Pobla_total,Densidad_poblacion
San José,León Cortés Castro,9.6855564,-84.0422211,12001,11,190,19459675365,19459,67536,49,27502969,68,16,61,11,31,15
San José,Montes de Oca,9.9338894,-84.0544434,11501,7,445,28870269776,28870,26978,21,1416055,52,78,56,87,34,43
San José,Mora,9.9158335,-84.2441635,10701,4,128,5782045867,5782,45867,58,36329644,76,88,60,36,31,33
San José,Moravia,9.9630556,-84.0505524,11401,5,582,83276891436,83276,89144,23,60495397,82,81,80,88,42,13
San José,Pérez Zeledón,9.375556,-83.7052765,11901,9,225,42294657140,42294,65714,35,80914379,70,23,56,18,36,68
San José,Puriscal,9.8477783,-84.3177795,10401,1,514,31068909242,31068,90924,40,54765485,76,6,56,66,84,68
San José,San José,9.9355564,-84.0749969,10101,6,237,6569803885,6569,803885,33,97050033,81,35,82,83,50,13
San José,Santa Ana,9.9338894,-84.1833344,10901,1,525,10221897189,10221,89719,26,8948842,83,69,72,51,74,9
San José,Tarrazú,9.6611109,-84.0241699,10501,5,729,25206530642,25206,53064,27,44327634,68,98,37,66,13,88
San José,Tibás,9.9630556,-84.0805588,11301,2,491,34268147063,34268,14706,36,12696768,74,93,62,16,41,16
San José,Turrubares,9.9088888,-84.4427795,11601,3,338,19205334537,19205,33454,27,8841941,87,55,41,39,38,72
San José,Vázquez de Coronado,9.9772224,-84.0088882,11101,4,331,13917591487,13917,59149,0,55,71,53,94,23,74,73
Alajuela,Zarcero,10.1855564,-84.394165,21101,1,5,298740003,298,740003,75,39888366,89,6,79,59,99,82
